"State","electoralVotesNumber","Pop"
"Alaska",3,734002
"Delaware",3,982895
"Montana",3,1086759
"North Dakota",3,761723
"South Dakota",3,903027
"Vermont",3,628061
"Wyoming",3,567025
"Hawaii",4,1412687
"Idaho",4,1826156
"Maine",4,1345790
"New Hampshire",4,1371246
"Rhode Island",4,1056161
"Nebraska",5,1952570
"New Mexico",5,2096640
"West Virginia",5,1778070
"Arkansas",6,3038999
"Iowa",6,3179849
"Kansas",6,2910357
"Mississippi",6,2989260
"Nevada",6,3139658
"Utah",6,3282115
"Connecticut",7,3563077
"Oklahoma",7,3954821
"Oregon",7,4301089
"Kentucky",8,4499692
"Louisiana",8,4645184
"Alabama",9,4908621
"Colorado",9,5845526
"South Carolina",9,5210095
"Maryland",10,6083116
"Minnesota",10,5700671
"Missouri",10,6169270
"Wisconsin",10,5851754
"Arizona",11,7378494
"Indiana",11,6745354
"Massachusetts",11,6976597
"Tennessee",11,6897576
"Washington",12,7797095
"Virginia",13,8626207
"New Jersey",14,8936574
"North Carolina",15,10611862
"Georgia",16,10736059
"Michigan",16,10045029
"Ohio",18,11747694
"Illinois",20,12659682
"Pennsylvania",20,12820878
"Florida",29,21992985
"New York",29,19440469
"Texas",38,29472295
"California",55,39937489